station,degC,degC_1,days,mm,hours
Aberporth,1941,1,---,---,---
Aberporth,1941,2,---,---,---
Aberporth,1941,3,---,---,---
Aberporth,1941,4,---,---,---
Aberporth,1941,5,---,---,---
Aberporth,1941,6,---,---,---
Aberporth,1941,7,---,---,---
Aberporth,1941,8,---,---,---
Aberporth,1941,9,---,---,---
Aberporth,1941,10,---,---,---
Aberporth,1941,11,---,---,---
Aberporth,1941,12,---,---,---
Aberporth,1942,1,5.8,2.1,---
Aberporth,1942,2,4.2,-0.6,---
Aberporth,1942,3,9.7,3.7,---
Aberporth,1942,4,13.1,5.3,---
Aberporth,1942,5,14.0,6.9,---
Aberporth,1942,6,16.2,9.9,---
Aberporth,1942,7,17.4,11.3,---
Aberporth,1942,8,18.7,12.3,---
Aberporth,1942,9,16.4,10.7,---
Aberporth,1942,10,13.1,8.2,---
Aberporth,1942,11,9.2,4.6,---
Aberporth,1942,12,9.6,6.2,---
Aberporth,1943,1,8.2,3.5,---
Aberporth,1943,2,8.9,4.6,---
Aberporth,1943,3,10.2,4.1,---
Aberporth,1943,4,13.0,6.8,---
Aberporth,1943,5,14.1,7.4,---
Aberporth,1943,6,15.9,9.8,---
Aberporth,1943,7,18.6,11.7,---
Aberporth,1943,8,18.1,12.0,---
Aberporth,1943,9,15.8,10.0,---
Aberporth,1943,10,13.6,8.3,---
Aberporth,1943,11,9.7,5.9,---
Aberporth,1943,12,6.9,2.7,---
Aberporth,1944,1,9.2,5.8,---
Aberporth,1944,2,6.5,3.1,---
Aberporth,1944,3,8.6,3.1,---
Aberporth,1944,4,12.7,6.6,---
Aberporth,1944,5,13.8,7.0,---
Aberporth,1944,6,15.4,9.9,---
Aberporth,1944,7,18.2,12.6,---
Aberporth,1944,8,19.7,12.8,---
Aberporth,1944,9,15.7,10.3,---
Aberporth,1944,10,12.1,7.8,---
Aberporth,1944,11,9.5,5.8,---
Aberporth,1944,12,7.7,4.3,---
Aberporth,1945,1,4.5,1.3,---
Aberporth,1945,2,9.6,5.1,---
Aberporth,1945,3,10.4,5.2,---
Aberporth,1945,4,13.3,6.6,---
Aberporth,1945,5,14.3,8.3,---
Aberporth,1945,6,16.5,10.2,---
Aberporth,1945,7,17.4,12.2,---
Aberporth,1945,8,18.1,11.9,---
Aberporth,1945,9,17.1,11.3,---
Aberporth,1945,10,15.2,9.1,---
Aberporth,1945,11,10.7,5.6,---
Aberporth,1945,12,8.9,5.1,---
Aberporth,1946,1,6.9,2.2,---
Aberporth,1946,2,8.2,4.9,---
Aberporth,1946,3,8.7,2.6,---
Aberporth,1946,4,12.8,6.3,---
Aberporth,1946,5,14.1,6.7,---
Aberporth,1946,6,14.6,8.8,---
Aberporth,1946,7,17.1,11.2,---
Aberporth,1946,8,16.3,11.0,---
Aberporth,1946,9,16.3,11.3,---
Aberporth,1946,10,---,8.2,---
Aberporth,1946,11,---,7.6,---
Aberporth,1946,12,7.2,3.1,---
Aberporth,1947,1,5.8,1.4,---
Aberporth,1947,2,---,-2.7,---
Aberporth,1947,3,---,2.2,---
Aberporth,1947,4,---,5.1,---
Aberporth,1947,5,13.9,8.0,---
Aberporth,1947,6,17.0,10.4,---
Aberporth,1947,7,17.4,11.7,---
Aberporth,1947,8,21.4,13.2,---
Aberporth,1947,9,17.5,11.4,---
Aberporth,1947,10,14.2,8.0,---
Aberporth,1947,11,10.1,6.5,---
Aberporth,1947,12,7.7,4.9,---
Aberporth,1948,1,8.2,4.6,---
Aberporth,1948,2,7.4,2.9,---
Aberporth,1948,3,13.5,5.8,---
Aberporth,1948,4,11.4,4.8,---
Aberporth,1948,5,14.2,6.7,---
Aberporth,1948,6,14.7,9.8,---
Aberporth,1948,7,16.9,11.6,---
Aberporth,1948,8,17.0,11.8,---
Aberporth,1948,9,15.7,11.1,---
Aberporth,1948,10,13.3,8.5,---
Aberporth,1948,11,11.5,6.9,---
Aberporth,1948,12,8.5,4.2,---
Aberporth,1949,1,8.6,5.0,---
Aberporth,1949,2,8.7,4.4,---
Aberporth,1949,3,8.7,3.3,---
Aberporth,1949,4,---,6.7,---
Aberporth,1949,5,13.4,6.6,---
Aberporth,1949,6,17.4,11.3,---
Aberporth,1949,7,19.9,12.5,---
Aberporth,1949,8,19.0,12.8,---
Aberporth,1949,9,19.5,12.5,---
Aberporth,1949,10,15.2,9.9,---
Aberporth,1949,11,10.2,6.1,---
Aberporth,1949,12,8.7,5.4,---
Aberporth,1950,1,7.3,3.2,---
Aberporth,1950,2,8.3,3.9,---
Aberporth,1950,3,10.8,4.8,---
Aberporth,1950,4,10.3,5.3,---
Aberporth,1950,5,14.7,7.6,---
Aberporth,1950,6,17.9,11.2,---
Aberporth,1950,7,17.9,12.0,---
Aberporth,1950,8,17.4,11.5,---
Aberporth,1950,9,15.3,10.7,---
Aberporth,1950,10,12.9,8.0,---
Aberporth,1950,11,9.1,4.8,---
Aberporth,1950,12,4.7,1.7,---
Aberporth,1951,1,6.7,3.2,---
Aberporth,1951,2,6.4,2.0,---
Aberporth,1951,3,6.9,2.2,---
Aberporth,1951,4,9.6,3.7,---
Aberporth,1951,5,12.5,6.3,---
Aberporth,1951,6,16.3,9.4,---
Aberporth,1951,7,18.3,11.8,---
Aberporth,1951,8,16.9,11.3,---
Aberporth,1951,9,16.4,11.8,---
Aberporth,1951,10,13.6,8.1,---
Aberporth,1951,11,11.0,7.2,---
Aberporth,1951,12,8.7,5.4,---
Aberporth,1952,1,6.2,2.8,---
Aberporth,1952,2,6.9,2.2,---
Aberporth,1952,3,9.4,4.7,---
Aberporth,1952,4,12.3,5.6,---
Aberporth,1952,5,15.2,8.9,---
Aberporth,1952,6,15.8,9.9,---
Aberporth,1952,7,18.6,12.4,---
Aberporth,1952,8,17.9,12.1,---
Aberporth,1952,9,14.2,8.8,---
Aberporth,1952,10,12.5,8.0,---
Aberporth,1952,11,7.8,4.3,---
Aberporth,1952,12,6.9,3.1,---
Aberporth,1953,1,6.8,2.9,---
Aberporth,1953,2,7.4,2.8,---
Aberporth,1953,3,9.8,2.4,---
Aberporth,1953,4,10.2,4.0,---
Aberporth,1953,5,15.2,8.6,---
Aberporth,1953,6,15.7,9.6,---
Aberporth,1953,7,17.2,11.7,---
Aberporth,1953,8,18.3,12.2,---
Aberporth,1953,9,16.2,11.2,---
Aberporth,1953,10,13.6,7.8,---
Aberporth,1953,11,11.2,7.4,---
Aberporth,1953,12,10.1,7.0,---
Aberporth,1954,1,6.3,2.9,---
Aberporth,1954,2,6.4,1.5,---
Aberporth,1954,3,9.1,3.8,---
Aberporth,1954,4,11.3,4.2,---
Aberporth,1954,5,13.3,7.6,---
Aberporth,1954,6,15.3,9.7,---
Aberporth,1954,7,15.8,11.1,---
Aberporth,1954,8,16.1,11.2,---
Aberporth,1954,9,15.3,10.2,---
Aberporth,1954,10,14.1,10.3,---
